x,y,z
-1.20889,-1.63896,1.4666
-1.30481,-1.35946,1.29665
-0.949973,-2.08307,1.59927
-0.792933,-2.27049,1.68994
-0.777751,-2.08132,1.7212
-0.698388,-2.21483,1.76522
-0.536085,-2.50453,1.84339
-0.408253,-2.6589,1.91764
-0.373403,-2.5234,1.95257
-0.223354,-2.81287,2.03482
-0.0184755,-2.95123,2.15425
0.0433326,-2.91814,2.19327
0.2053,-3.09876,2.29318
0.118314,-2.8814,2.24937
0.625342,-2.90629,2.24926
1.47537,-3.70386,3.09688
2.14119,-3.93586,3.53401
1.02303,-3.5293,2.80877
1.83131,-3.87661,3.33189
2.25987,-4.05623,3.6021
1.07806,-3.51136,2.84953
3.03175,-4.10531,4.11671
2.69427,-4.18523,3.89067
1.38821,-3.66594,3.04507
3.55313,-4.16835,4.46187
2.82777,-4.32703,3.96809
3.2254,-4.33541,4.22513
3.66068,-4.29039,4.5094
4.10857,-4.19528,4.82761
2.98944,-3.96049,3.79308
3.83383,-4.48881,4.6158
3.76402,-3.84124,4.32048
4.71793,-4.19614,5.2375
3.60063,-4.15778,4.1869
4.53025,-4.62924,5.06244
4.96339,-4.42677,5.36475
5.3461,-4.13848,5.65519
4.91724,-4.96674,5.29444
5.72182,-4.44667,5.8683
5.98999,-4.01633,6.08151
5.91482,-5.21372,5.94614
6.27215,-4.88068,6.20509
6.53467,-4.40379,6.40407
6.20173,-3.57851,6.08009
6.68277,-5.12959,6.32354
6.9038,-4.65915,6.49611
6.69916,-3.88608,6.31389
6.68933,-3.28358,6.37182
8.42846,-5.60287,7.56082
7.7023,-4.47194,6.94004
7.35111,-3.0202,6.83893
10.4051,-5.93535,8.90696
9.02376,-4.45233,7.83085
8.10239,-3.34652,7.1839
6.96523,-2.33609,6.35714
11.7331,-5.66448,9.64354
7.20748,-2.42583,6.24373
8.54729,-3.41412,6.78063
7.41294,-2.4759,6.06278
5.31003,-0.544456,3.86085
6.55993,-1.72995,5.57684
7.52561,-2.41674,5.79476
6.66738,-1.73326,5.33431
4.44389,0.314393,3.66604
6.11007,-1.15334,4.80468
4.83619,0.177403,3.47198
6.07779,-1.05606,4.48164
5.61634,-0.670135,4.36142
4.18003,0.741553,3.0244
3.92216,0.868868,3.05957
-2.04335,2.10813,1.1742
3.44954,1.17655,2.98316
-2.13478,1.44869,1.06708
3.31146,1.74847,2.82816
3.24548,1.85861,3.04261
3.20892,1.97608,3.29033
3.48075,2.14885,3.08595
3.41743,2.25864,3.32547
3.80534,2.56623,3.23153
3.7071,2.64738,3.43023
3.63464,2.75047,3.6888
3.57024,2.84488,3.95469
4.04739,3.16304,3.61568
3.88951,3.35634,4.14795
4.37417,3.943,4.14668
4.28195,4.02595,4.41446
4.398,7.06568,5.89491
4.17074,4.09207,4.70339
3.73598,6.12376,5.3721
4.04202,4.1107,4.9452
2.81488,4.68459,4.33943
4.81909,4.99937,4.89178
4.67974,5.0354,5.15703
1.60352,3.0203,2.49474
4.50923,5.02775,5.4179
4.37169,5.02168,5.67919
1.55154,2.97729,2.65612
5.39779,6.45458,5.9373
5.2183,6.43507,6.21133
1.3983,3.13299,2.50812
4.63698,5.88727,5.99421
1.3646,3.08304,2.65893
5.54704,7.66074,6.68263
3.88216,5.49337,5.03962
1.19051,3.24239,2.53155
3.89745,5.64914,5.46826
0.975756,3.34532,2.56105
0.756673,3.45359,2.60737
0.790228,3.37102,2.74744
0.538148,3.53123,2.68947
0.582608,3.45021,2.76212
0.293023,3.4017,2.57511
0.0427308,3.20039,2.391
0.132034,3.13641,2.45387
-0.117602,2.96988,2.2651
-0.325713,2.75813,2.12189
-0.497069,2.56612,1.99471
-1.0517,1.85682,1.63653
-1.38306,2.52058,1.65131
3.62352,0.960196,3.22888
-1.82894,2.94224,1.36715
-1.01143,2.81241,1.71651
4.08928,0.515425,3.64855
3.83894,0.742075,3.45658
3.19903,1.34213,2.93865
-0.683539,-1.84308,1.79727
-0.961538,-1.88052,1.61145
-0.404948,-2.10216,1.96517
3.79582,3.47075,4.47243
-0.284151,-2.08454,2.04642
-0.0789189,-2.26866,2.16706
-0.0143113,-2.22995,2.21753
-0.729693,3.14552,1.86973
0.53283,-3.19595,2.50299
0.23975,-2.44392,2.36837
0.430235,-2.50818,2.48449
1.20689,3.61439,1.64615
1.76013,-2.9579,3.34549
2.12671,-2.72574,3.60845
0.94666,-2.69626,2.82285
2.36081,-2.63392,3.78267
2.09647,-3.04134,3.57011
1.24669,-2.73002,3.01188
1.34069,-2.71422,3.06685
2.28376,-2.9194,3.694
2.47922,-2.76677,3.84131
2.63805,-2.56604,3.97501
2.46133,-3.10505,3.80669
2.64189,-2.94701,3.93966
2.79863,-2.72962,4.05995
1.46318,-2.87936,3.15624
2.86358,-3.15161,4.0674
3.01442,-2.94033,4.18775
3.12554,-2.66332,4.28004
3.18931,-2.35635,4.35998
3.31712,-3.19133,4.37269
4.17662,-1.62862,5.07159
3.41333,-2.90985,4.45266
5.59283,-3.01604,5.8992
3.46487,-2.57351,4.51377
3.45337,-2.21089,4.54438
4.84648,-1.89919,5.49523
3.80986,-3.19799,4.69678
4.36866,-1.3844,5.20974
3.83648,-2.85051,4.73828
6.30959,-2.86405,6.3979
3.80963,-2.45448,4.75392
5.68994,-2.21107,6.00126
4.32772,-3.16001,5.03121
4.54841,-1.1253,5.35139
4.27887,-2.7546,5.03533
6.74495,-2.51912,6.61219
6.20839,-1.94403,6.38055
4.37174,-2.75405,4.82348
4.75729,-2.62833,5.36723
6.39755,-1.89861,6.09502
4.49444,-2.11349,5.23484
5.72427,-1.37615,5.75863
5.15158,-0.921446,5.53722
4.64332,-0.539392,5.37339
5.8682,-1.30868,5.46297
-0.540009,-2.31553,1.85484
5.31514,-0.905282,5.25802
4.3401,-0.229786,5.00598
5.41293,-0.818831,4.94929
4.9511,-0.504816,4.83868
4.50314,-0.210789,4.76273
5.02662,-0.408539,4.53743
4.06708,0.404424,3.93644
4.62508,-0.159203,4.48616
4.24122,0.0753642,4.47648
4.67939,-0.0561052,4.19147
3.54006,0.753615,3.79712
-1.44768,4.04461,1.6824
3.3672,1.16563,3.1362
-0.0899457,-2.72996,2.12883
-1.70537,3.1988,1.45819
2.81463,1.30125,3.51755
-1.6881,3.34999,1.48272
-1.94487,2.36232,1.25654
0.314204,-3.02571,2.37006
0.822583,-3.35364,2.6874
-2.07703,1.87815,1.13299
-2.15066,1.65301,1.06634
1.46834,-5.04768,3.00613
3.12137,2.37989,4.01925
3.00712,2.38519,4.25062
3.28511,2.8508,4.43431
3.13488,3.08597,4.46307
2.65627,2.67527,4.11034
-1.89391,-0.755085,0.961347
3.31921,3.6223,4.61091
2.8003,3.12445,4.23653
1.35314,3.05005,3.28368
2.18736,2.79975,3.80403
0.869723,2.94117,2.92631
2.33948,3.83197,3.96458
2.09208,3.45572,3.77835
0.638238,2.94644,2.76945
1.62174,3.11317,3.47228
0.416189,2.8023,2.61251
0.450965,2.68258,2.62615
0.20215,2.68295,2.46164
-0.524656,3.41392,2.02259
-1.27273,2.70804,1.72915
-0.970038,1.84293,1.88071
0.555881,-2.51538,2.56357
-1.48442,2.08534,1.50956
-1.58033,2.03806,1.48035
-1.61532,1.87132,1.44457
-1.66551,1.65513,1.39778
3.60852,1.47937,2.10372
-1.81731,1.20296,1.26618
-2.13657,0.773841,1.02266
2.58169,-4.04177,3.81895
4.02911,0.0507283,4.7734
-0.954897,2.32082,1.92733
1.6862,-3.79127,3.2335
3.60732,0.499792,4.29524
3.81074,0.287216,4.51819
3.77625,0.497141,4.08098
-2.09735,-0.0895328,0.989262
1.16847,3.15197,2.75765
-1.86147,-0.584272,0.993982
1.02161,3.23898,2.76131
1.62106,-2.76746,3.26142
-1.60379,-0.118963,1.20105
0.12062,-2.29449,2.29891
-0.812842,-1.60366,1.73484
4.30592,0.284455,3.88792
-0.78995,2.48635,2.02325
-1.82502,0.984926,1.24786
3.05231,1.43601,2.99061
-1.45569,1.42248,1.52741
2.48309,3.17552,4.01026
-1.65829,0.100394,1.25423
1.71266,2.86707,3.49852
-1.84764,0.331049,1.17806
0.0919981,2.48902,2.37421
0.283994,-2.35408,2.40161
3.34823,2.35587,3.59817
-1.85318,0.54894,1.18805
-1.16576,-1.44245,1.47822
0.980661,-2.1269,2.78397
-2.14416,0.541619,0.998845
-1.69942,-1.44029,1.03547
1.97458,-2.14808,3.54755
-2.12062,0.327867,0.993516
2.08005,-1.87737,3.64891
1.4918,-2.14487,3.21717
-2.13793,0.11701,0.974032
2.46384,-2.31033,3.86559
2.41653,-2.0173,3.84989
1.68848,-2.11265,3.35369
-0.969889,-1.41076,1.63321
2.50689,-1.61669,3.95885
3.05842,-2.18012,4.27305
4.87027,-2.02481,5.47807
2.88406,-1.82736,4.19138
-1.45329,-0.980315,1.23079
2.66533,-1.48793,4.07736
3.58926,-2.45739,4.60807
3.66995,-2.01412,4.69682
3.36999,-2.07806,4.48923
-0.17313,2.28238,2.18242
2.81166,-1.34257,4.18537
3.27043,-0.64824,4.53552
-0.726056,2.53891,1.93071
3.95754,-1.84069,4.90215
5.73823,-1.50238,6.08631
3.32845,-1.5442,4.51264
4.86374,-1.07754,5.54944
4.06562,-0.723455,5.06609
3.3653,-0.45509,4.62286
3.97976,-1.77049,4.90528
5.29831,-1.00116,5.49978
3.52193,-1.36464,4.6456
4.88648,-0.743611,5.48485
4.72621,-0.495508,5.11215
-1.20891,1.88538,1.70376
-1.36081,1.43909,1.5969
4.55866,-0.384473,5.05484
4.20168,-0.201109,5.13722
3.49432,-0.0427306,4.74817
4.60853,-0.222049,4.65506
3.38434,0.724525,4.06888
3.52756,0.16949,4.78728
3.19754,0.883901,3.96893
4.31777,0.120498,4.2653
3.4831,0.378588,4.73137
3.14245,0.991434,3.80688
-0.520355,-1.82491,1.91071
4.96133,-0.289386,4.3475
2.94245,1.16467,3.67126
3.02624,1.22227,3.44713
2.60735,1.31694,3.78098
4.07917,0.600799,3.46334
2.68293,1.43323,3.56959
2.72556,1.40564,3.41066
0.951115,-2.32163,2.52376
2.81699,1.59131,3.38907
3.2685,1.25984,3.02635
2.75525,1.70012,3.64516
3.02558,2.00027,3.61826
2.59865,1.73042,3.96253
3.4755,1.08592,3.15422
3.03354,2.28326,4.02329
2.87425,2.17671,4.16432
-1.59152,0.351109,1.35993
-1.60992,0.767799,1.36605
-1.3489,1.63467,1.61305
-1.36749,1.22102,1.56986
4.28121,2.91129,3.36698
3.03668,1.61037,3.05094
-1.37782,-0.10937,1.34568
0.769171,-2.55602,2.70248
2.86869,2.02579,3.92633
-1.62072,-2.11218,1.06327
-1.05237,-0.590449,1.52212
-1.05859,-1.13044,1.48626
2.945,2.51403,4.28149
2.9138,4.30052,4.36767
2.45667,4.0581,4.03846
-1.42404,-2.69466,1.2386
-1.84585,-0.0979012,1.15383
-2.10367,-0.338798,0.971339
1.89721,3.20824,1.68113
-1.45713,0.982068,1.48897
-1.57113,-1.23017,1.13734
2.47692,2.71044,3.98917
3.40384,2.90567,4.31252
1.42998,2.99736,2.78696
1.48195,3.44693,1.66856
-1.42404,-0.761185,1.26823
1.69892,3.32187,1.67708
-1.85702,0.779787,1.20719
1.51582,2.83139,3.36154
-0.414228,-1.90583,1.97177
1.86502,2.82086,3.59119
-0.0551026,2.31645,2.26704
-1.40054,-1.62204,1.22161
1.03041,2.91503,3.02923
-1.64494,-0.31724,1.16101
-1.33209,0.753103,1.55717
2.17169,3.21046,3.81965
-0.144975,-1.83573,2.16138
0.62289,3.64033,2.31411
1.85176,3.16413,3.61251
2.50173,1.89063,3.93824
0.558214,-5.79737,2.35004
1.24491,2.78396,3.16664
2.71575,2.33835,4.11329
3.3423,3.2796,4.60122
2.88151,2.83074,4.2578
2.30202,2.09158,3.83952
2.50858,2.45187,3.9972
-0.953235,-1.03469,1.65517
2.90641,3.26802,4.30147
2.56653,2.87587,4.05259
2.29285,2.54212,3.87346
2.052,2.2365,3.67622
-1.86691,-0.362144,1.06477
0.851257,2.71608,2.89541
2.25711,2.88703,3.84413
2.0524,2.58516,3.70732
0.521231,-2.12541,2.58209
1.87447,2.31042,3.55732
0.586013,2.71574,2.71974
-0.253683,-2.55056,2.03416
1.14261,2.45696,3.07132
-1.03619,-0.980002,1.50249
-0.807296,2.97326,1.80988
1.69602,2.37442,3.44262
-0.75147,-1.25109,1.79807
0.953483,2.5052,2.95028
-1.59189,0.565053,1.36909
0.491982,2.59389,2.63896
1.59275,2.62912,3.40317
1.51291,2.42027,3.32322
0.353176,-2.07203,2.47647
-1.34938,-0.331085,1.34783
-0.964834,-0.788413,1.563
1.34758,2.53227,3.22175
0.609031,2.41266,2.70994
-0.589647,-1.46975,1.90069
1.15141,2.59026,3.09293
-1.48455,0.0882749,1.29543
0.441186,2.37177,2.59247
0.387589,3.19077,2.61112
-0.335211,-1.69806,2.04462
-1.22146,-0.341356,1.43052
-0.558676,-1.64774,1.90136
-1.22551,4.5438,1.87215
0.303995,2.34671,2.50809
0.185933,2.32877,2.43082
0.64007,-2.11628,2.66306
-0.59753,2.10078,2.13094
-0.754516,2.06319,2.03551
0.747417,-4.31243,2.57686
1.17669,-3.55139,2.91558
0.898041,-2.60286,2.78995
3.10605,-4.18845,4.14704
-0.591773,1.75334,1.98855
-0.275947,2.13752,2.22967
-0.744831,1.88871,2.03396
-0.212402,2.76814,2.19054
20.1397,-25.9139,12.8495
0.611705,-4.29385,2.48874
-1.89576,2.69007,1.3051
1.1422,-2.24195,2.9757
1.38351,-2.74464,3.1023
1.97122,-2.96988,3.48552
0.079804,-1.94537,2.3012
-1.24822,0.11877,1.44742
1.19041,-1.88353,2.7107
1.30123,-2.43088,3.07106
-1.02448,2.08931,1.86047
-0.763885,1.51103,1.83933
-0.548829,2.44906,1.94994
1.81167,-2.04892,3.44401
5.32044,-4.74254,5.57131
1.92309,-2.80433,3.46061
-1.22234,1.20109,1.67035
-1.46052,-0.122855,1.29429
-1.02823,0.997995,1.65497
-0.972288,-1.2181,1.64041
2.94785,1.90339,3.60654
-1.08584,0.816458,1.59976
-1.18918,-1.23515,1.40702
-1.24976,0.341769,1.46269
0.308372,2.52311,2.5216
-1.19463,0.703236,1.52828
1.25272,3.02351,2.95104
7.56913,-3.70014,6.909
-1.45631,-0.543169,1.2638
2.13171,-2.55007,3.61396
-0.996867,1.64955,1.84733
-0.338203,2.2606,2.11911
8.39311,-3.42112,6.96789
2.11438,-2.08449,3.6466
-1.13706,0.603101,1.54974
12.6592,-6.65116,8.67534
8.33193,-3.06341,5.56289
-0.152513,-2.07925,2.13268
6.56312,-1.45992,4.10495
-1.74929,1.36732,1.31531
-2.06246,1.67177,1.13383
6.32673,-1.69864,5.69587
2.8302,-2.56976,4.09228
7.59636,-2.24563,4.95866
11.45,-5.04738,7.45675
5.80189,-0.925787,3.66338
2.7129,-2.25853,4.0306
-1.65888,1.21053,1.37861
-1.24816,0.537603,1.48449
5.80991,-0.809717,3.25236
6.7468,-1.67668,5.14753
2.91482,-2.50747,4.15584
-1.74388,1.05767,1.30769
-2.22713,1.27144,0.992698
2.67939,-1.89684,4.04356
-1.02051,1.44538,1.8201
5.97966,-1.14582,4.95266
-1.23391,1.00347,1.63728
3.03636,-1.01679,4.35275
5.35486,-0.374261,2.96296
5.52685,-0.685827,4.51622
3.19562,2.33556,3.84338
5.40798,-1.80442,5.85362
-2.13252,1.20948,1.05185
-2.13847,0.980853,1.03395
-2.25129,0.981197,0.953257
7.98145,-2.8565,3.34928
3.85832,-1.02676,4.90111
-0.0356432,-1.88273,2.22956
3.13705,-1.65795,4.37157
0.769145,-2.12732,2.7358
4.29738,-1.61258,5.13854
5.16309,-2.50379,5.62335
3.6667,-1.23352,4.75797
-1.47732,0.557524,1.44514
-1.21905,-0.772054,1.40222
4.47559,-2.22271,5.19782
2.90396,-1.17759,4.25244
5.64571,-0.486601,2.33084
5.61292,0.251148,2.28232
1.02171,-2.10437,2.90575
4.69411,0.638747,2.57812
4.20527,-0.557546,5.17864
-1.40545,0.320287,1.37771
6.25161,-0.946957,2.5302
4.92142,-0.560363,4.99593
5.10428,-1.67998,5.66586
6.10036,-0.127677,2.49516
3.44701,-0.27028,4.68268
5.18794,0.573325,2.10544
1.19439,-2.09798,3.02293
4.74363,-0.781512,5.47516
3.35509,0.5583,4.51279
-0.842317,-1.23846,1.73041
5.44987,-1.40805,5.92318
-1.21066,-0.553634,1.4238
3.19263,0.733474,4.31313
-1.75281,-0.36963,1.07628
4.74542,0.950967,1.81634
5.16141,-0.275191,4.03618
5.41898,-0.732147,4.73614
5.18245,-0.18829,3.77866
